1263201035_angry_30428|Силуановтың айтуынша, жыл басынан бері өзге көршілес елдерге сезілмеген санкциялар салқыны жыл соңында анық біліне бастайды.
1263201035_angry_30435|Әйтпесе, мен ештеңеден қорықпаймын, – дейді эстрада өкілі.
1263201035_angry_30492|Жобаның республикалық кезеңінде облыс намысын кімдер қорғайды?
1263201035_angry_30494|Оның дарын қуаты мінсіз де мөлдір ғажайып суреттер желісі арқылы ашылды.
1263201035_angry_30596|Бірақ спортқа өмірін арнаған адам үшін бұнын барлығы өте күрделі екенін ұғатын оның жұбайы Мэриге карьерасын ары қарай жалғастыруға көмек көрсетеді.
1263201035_angry_30846|Бұл табыс бермейтін кәсіпкерлік.
1263201035_angry_30901|Көкнар, алма қосылған тоқаштар бар ма?
1263201035_angry_31103|Бірінші бөлімде ағылшын грамматикасы қазақша түсіндіріледі.
1263201035_angry_31125|– Он жеті, он сегіздегі жігіт.
1263201035_angry_31345|Жүзікті әкесіне лақтырып жібереді, әкесі қағып алады.
1263201035_angry_31510|Сол себепті, өз қалталарын одан сайын қампайтуды көздейді.
1263201035_angry_31511|Қазақ дастарқанына түсетін тағамдардың барлығы да ең алдымен осы қазаннан өтеді.
1263201035_angry_31619|Мәжіліс депуататтарының пікірінше осылайша компаниялар жыл сайын абоненттердің қалтасынан 38–50 миллиард теңге қосымша ақша қағып алуды көздеп отыр.
1263201035_angry_31679|Сандерстің құпияларыГарланд Сандерстің қуырылған дәмді тауықтарының дайындалу құпиясы туралы бәрі де білгісі келе бастайды.
1263201035_angry_32184|– Әйел адам ғой, анау Зибашты атына мінгіз.
1263201035_angry_32304|Кейбір аудан әкімдері мәдениет үйлерін күрделі жөндеуден өткізгеннен гөрі КВН командасын ұстағанды жөн көреді.
1263201035_angry_32308|Қазақ эстрадасының жұлдызы Кенжебек Жанәбілов жеке өміріне қатысты тың мәліметтермен бөлісті.
1263201035_angry_32407|Онда Украина мәселесін талқылау жоспарланды.
1263201035_angry_32480|Сен кеткелі жырақтап, Құрғыр жүрек сағынды.
1263201035_angry_32501|Дифракцияны зерттеу Френель еңбектерімен тиянақталды.
1263201035_angry_32509|Балақ жүні шалқи ма?– деп сұрайды.
1263201035_angry_32512|Келбет сөзден тоқталып бірсыпыра отырды.
1263201035_angry_32592|Мемлекет басшысы Қасым–Жомарт Тоқаев Қазақстанда жеке басқа табынушылық жоқ деп есептейді.
1263201035_angry_32674|Қазіргі кезде Қазақстан бойынша Тойотаның 14, ал Лексустың 2 дилерлық орталығы бар.
1263201035_angry_32730|Дәрмен сықылды өзімізде де кісі бар.
1263201035_angry_32762|Бұл мәліметті Ұлттық тестілеу орталығының директоры Қали Әбдиев те растаған болатын.
1263201035_angry_32771|Кейінірек зардап шеккен ақсақалдың ұлдары өз шындықтарын айтып берді.
1263201035_angry_33174|Бұл «Батыс» аймақтық жолаушылар тасымалы филиалы «Маңғышлақ» телімінің жолсеріктері.
1263201035_angry_33304|Халықты сумен қамтамасыз ету құдықтар арқылы өткізілді.
1263201035_angry_33421|Қарғыс айтқалы жатыр ғой, өз балаларына!– десіп үркіп үн салды.
1263201035_angry_33432|Дәрігерлерден жағымды жаңалық естіген соң ғана көңілі орнына түсті полицейдің.
1263201035_angry_33455|Шымкент – тек демографиясымен ғана емес, экономикалық көрсеткіштерімен ерекшеленетін қала.
1263201035_angry_33486|Жабдықталуы сатып алынған уақыты мен жеріне байланысты ерекшеленуі мүмкін.
1263201035_angry_33487|Жақын жерде жүгіретін жол бар ма?
1263201035_angry_33507|Керісінше анам қолдап: «істесе несі бар, ол да жақсы мамандық» деп көңіліме медеу беріп қоятын.
1263201035_angry_33597|Ақылжанды Жанғазының үйіндегі шешесіне тастап, Дәмелі тәуекелге бел буды.
1263201035_angry_33598|Құлыңмын құлақ кесті... Мүсіреп атынан түсіп, Ұлпан астындағы аттың айыл тартпасын дұрыстап тартып берді.
1263201035_angry_33668|Елордада бір адамға күнбағыс майын 5 литрден, ал жарма өнімдерін 5 келіден артық сатпайтын болды.
1263201035_angry_33712|«MEGA Silk Way» ішінде кинотеатр орналасқан.
1263201035_angry_33749|Бұл жағдай арабтар мен қытай әскерлерінің қақтығысқа түсуін жеделдете түсті.
1263201035_angry_33762|Ол вагондарды жалға алу, дәрігерлердің тамақтары, спутниктік байланыс.
1263201035_angry_33817|Атап айтар болсақ, қыз баланың інісі дүниеге келген кезде «әке–шешем менің жынысымды ұнатпады» деп ойлауы мүмкін.
1263201035_angry_33831|Бұл максимум заңында немесе толеранттың заңында көрсетілген.
1263201035_angry_33837|Енді өзіңнен қайран кеткенде сол үріп ауызға салғандай бүлдіршіндерді баламнан сүйем деп дәметесің.
1263201035_angry_33956|Метасоматоздық граниттенуде Лингреннің көлем тұрақтылық ережесі жер қыртысының үстіңгі бөліктерінде таужыныстардың серпімді деформациясы жағдайында ғана сақталады.
1263201035_angry_34047|Естеріңізге сала кетсек, бұған дейін Алматы қаласына облыстан кімдер кіре алатыны туралы жазған болатынбыз.
1263201035_angry_34062|Ал тағдырмен жақсы жұмыс жасау үшін қандай асылзаттың қадірін білген құнды?
1263201035_angry_34247|Ол үшін ескі орақтың шыбығын кесіп алып отқа қыздырып соғып, әбден жұқартып егеп, қайта қыздырын суарған кезде, кездігімнің жүзі жарылып кетті.
1263201035_angry_34248|Ал педофилдердің виртуалдан шынайы өмірге шығып тұратынын ұмытпау керек.
1263201035_angry_34257|Галузо отынкескіш қоңызы Ілде өзенінің аңғарларындағы Үлкен және Аяқты қалқан маңынан табылған.
1263201035_angry_34263|Қанық бояу, таза дауыс, сан алуан бағдарлама.
1263201035_angry_37386|Қазақстанда менен ұзын адам бар ма, жоқ па ол жағын білмеймін.
1263201035_angry_37389|Старгардта Герцог Ульрих өмірден қайтады.
1263201035_angry_37435|Қазір ол төбе зиратқа айналған.
1263201035_angry_38429|Бір сөзбен айтқанда, ол мені тастап кетпек түгілі, ол туралы бір ауыз сөз де естігісі келмеді.
1263201035_angry_38434|Шеелит кварц желілерінде жекеленген кристалдар мен түйіршік агрегаттар түрінде кездеседі.
1263201035_angry_38585|Бірде, мен көзімді ашып, оянған кезде әкемнің менің қасымда үстелде отырып, жылағанын көрдім.
1263201035_angry_38674|Бір кездері саяси мүддемен ауысқан латын әліпбиін бүнде саналы түрде, сауатты түрде қабыл алып, енгізіп отырмыз.
1263201035_angry_38765|Мына балам қуанып көп алғыс айтып отыр, – деді.
1263201035_angry_38773|Адамның тәжірибесі молыққан сайын, қақсал тартады, байызды күйге келеді.
1263201035_angry_38860|Әрі малды жанындай көретін малжанды, әрі Жалаудың тарланындай бір жүйрік аты болуды арман етіп жүрген атақ құмар Сүлей Жалаудың сөзін тыңдаған жоқ.
1263201035_angry_38866|– Қой жеймін, болмаса қонағыңның атын жеймін, – дейді қасқыр.
1263201035_angry_38884|Көргенді мен көргенсізді салыстырып, ары қарай жарыстырып жазудың өзі жаңағы ақылдың тесік қалтасынан түсіп қалумен бірдей емес пе?
1263201035_angry_38888|Кеше ауа температурасы отыз градусқа жетті.
1263201035_angry_38901|17 наурызда әлеуметтік желілер мен мессенджерлер арқылы Қызылорда облысының әкімі Қуанышбек Ысқақовтың ұсталғаны туралы ақпарат тарады.
1263201035_angry_38926|Адал махаббаттың алдындағы көп парыздың бірін сөйтіп өтесе.
1263201035_angry_38994|Онда оның желкенді кемесі майда толқындармен баяу ырғалып тұр еді.
1263201035_angry_39127|Қалалық полиция департаментінің мәліметінше, ұсталған қызметкердің бірі – бас механик.
1263201035_angry_39221|Ақырында Әміршінің пәлен күннен бергі сарыла күткен шағы да келді.
1263201035_angry_39229|Үндемей қалғанмен, Нұрбике оның қадырын білер ме?
1263201035_angry_39231|Кешіріңіз, біз бұрын кездескенбіз бе?
1263201035_angry_39283|Ол рим тарихшысы Куинт Күрсий Руф айтқан аңызға сүйеніп айтылады.
1263201035_angry_39384|Бүгін экранда — «Менің атым Қожа».
1263201035_angry_39596|Осыдан кейін команданың негізгі құрамы карантинге жабылып, алдағы күндері өтуі тиіс ойындар кейінге қалды.
1263201035_angry_39609|Өрнек қандай су салған, Жасыл қырат – жасыл сағым бусанған.
1263201035_angry_39628|Дәу бір қолмен менімен алыса кетті.
1263201035_angry_39629|Ынтымақтастығымыз одан әрі нығая түсетініне сенімдімін, – делінген құттықтау хатта.
1263201035_angry_39737|Енді жаңа агенттік екінші деңгейлі банктердің қызметін де қадағалайды.
1263201035_angry_39812|Алатаудан бастау алатын Үлкен және кіші Алматы, Кімасар, Қарғалы, Ақсай сияқты өзен сулары алдымен су бөгетіне жеткізіліп тазартылады.
1263201035_angry_39846|Күндегі мазақтап жүретін байдың баласына елдің бәрі таңырқап, әйелін көргендер талып жығылып жатыр.
1263201035_angry_39916|Салқындап, қарауыта түсіп, өтіп кеткен ауыр дәурендей, сол өткен қазалы ауыр күндер ізін сақтағандай.
1263201035_angry_39989|Олардың 1084–і қауіпті дерттен айығып, ауруханадан шыққан.
1263201035_angry_40055|Жер асты мұнай құбырларын хим.
1263201035_angry_40065|Қол шапалақ, у–шу, айқал–ұйқаймен балуанға істелген қошемет циркті дуылдатып, біразға шейін басылмады.
1263201035_angry_40175|Жылдың қай айында ағаштар жеміс бере бастайды?
1263201035_angry_40299|Біздер қазіргі таңда қала әкімшіліктерімен үлкен жұмыстарды қолға алып отырмыз.
1263201035_angry_4056|Демек, әлем бойынша латын әліпбиін қолданушылар саны жыл сайын арту үстінде.
1263201035_angry_4136|Адамдар ертеңнен жұмысқа шыққан жағдайда маска кию, әлеуметтік қашықтықты сақтау, антисептиктерді пайдалану мәселесінің нормасын бекіту маңызды.3.
1263201035_angry_42327|Өзбек орнынан ұшып түрегеліп, өзіне қарап тасырайып көзін алмай жатқан басынан бөлек қан–қан денесін алдаспанымен тартып–тартып жіберді.
1263201035_angry_4343|Ал қазір, бір–біріне жолыққан адамдар Үй бар ма, машина бар ма? 
1263201035_angry_4478|Дүние аяныш атаулыны білмеген кезде әлдеқайда бақытты еді.
1263201035_angry_4508|Пайдаланылмайтын жерлерге салынатын базалар мен салық сомасын 10–нан 20 есеге дейін арттыру керек деп санаймын.
1263201035_angry_4557|Өңірдегі қауіпсіздікті қамтамасыз ету мәселесі арнайы тақырып ретінде талқыланды.
1263201035_angry_4584|Осындай жерде дүниеге келген Кәусар өз туған жеріне көп бара бермейтін.
1263201035_angry_4598|Сәтбаев: Тағы да әңгімемізді бір күнге созармыз, яғни 5–6 сағатқа есеп жасайық.
1263201035_angry_4649|Ол біреуге жарық жол көрсетіп, өзім жанамын деген мағынаны береді.
1263201035_angry_4763|Сондай-ақ шаһардағы елу алты мектепке дейінгі тәрбие беретін мекеменің барлығы бейнебақылау камераларымен жабдықталған.
1263201035_angry_47800|Ол бүгін соншама көңілге бай, қалжыңға жомарт боп шыға келген!
1263201035_angry_47821|Бірақ өкінішке орай, бұған селт етер тиісті органдар табылмай отыр.
1263201035_angry_47908|Осы тәжірибені барлық басқармалар мен әкімдер тұрғындардың өз саласы бойынша кездесіп, пікірлесіп тұруды жоспарладық.
1263201035_angry_48000|Қыздың ұзатылуы, бұл дәстүрдің соңғы жағы өте мұңды, – дейді Назарбаев Университеті профессоры Майкл Льюис жүзіне күлкі үйіріліп.
1263201035_angry_4802|Жоғары оқу орындары бойынша бөлек пост жазамын.
1263201035_angry_48038|Оқушылар қолтықтарына қанат біткендей шабыс үстіне шабыс қосты.
1263201035_angry_48056|Қызметтік өкілеттілігін асыра пайдалануға жол беретін нормаларды алып тастау мақсатында арнайы шаралар тізімі қабылданады.
1263201035_angry_48064|Біз сындарлы диалог арқылы жаңа саяси мәдениеттің негізін қалыптастырып жатырмыз, – деді мемлекет басшысы.
1263201035_angry_48072|Жұрттың бәрі бұған таң қалатын болды.
1263201035_angry_48564|Аталған аурухана бір мың тоғыз жүз қырқыншы жылдары бой көтерген.
1263201035_angry_48646|Бірақ хасан хадистің дәлелінің күші сахих хадистен төмен.
1263201035_angry_48666|Жылдың аяғында халықаралық конференция өтеді.
1263201035_angry_49643|Қазақтың берекелі жерінде төрт бала сүйіп, олардан 17 немере, 8 шөбере көру бақыты бұйырыпты.
1263201035_angry_49695|Олардың өте жақын туыстығының жақында жүргізілген ДНК зерттеуі де көрсетіп берді.
1263201035_angry_49725|Ал топырақтағы нитрификациялаушы бактериялар аммиакты азот қышқылы тұздарына дейін тотықтырады.
1263201035_angry_49747|Бұл сөздің қазақшасы қалай болады?
1263201035_angry_49812|Өткен жылы он төрт модельді жаңартттық.
1263201035_angry_4986|Соғыс ауыртпалығы Қазақстанда жұмысшылар мен шаруалар қозғалысының өсуіне түрткі болды.
1263201035_angry_49899|Мінекиіңіз. Сіздің бөлмеңіздің кілті.
1263201035_angry_49946|Менің пенициллинге аллергиям бар.
1263201035_angry_50025|Тіпті Абайдың орыстан аударған мысалдарын да өлең қылып әуреленіппін.
1263201035_angry_50057|Қош, енді кешегі сапар туралы.
1263201035_angry_50095|Кейін Кабул университетіне оқуға түсіп ғылыми білімін шыңдады.
1263201035_angry_50154|«Аяусыз жаудың қолына түстім» дегені – келін баланың қолында отыр екен.
1263201035_angry_50170|Бұл жағдай арабтар мен қытай әскерлерінің қақтығысқа түсуін жеделдете түсті.
1263201035_angry_50243|Зақымдаушы әсері бар улағыш заттар қауіпті концентрация деп аталады.
1263201035_angry_50277|Осы жағдайдан кейін басыма қара бұлт үйіріле бастады.
1263201035_angry_50370|Басқалар сияқты виртуалда басқа, реалды өмірде басқа болып шыққан жоқ.
1263201035_angry_50486|Айта кетсек, норман төрттігі бірнеше жылдан кейін алғаш рет кездесіп отыр.
1263201035_angry_50513|Фариза Оңғарсынованың өлеңдері жинақы, жұмыр, тілге оңай болғандығымен қарапайым халыққа түсінікті еді.
1263201035_angry_50534|Тегістей сырты киімдерін киіп, вокзалға жол тартты.
1263201035_angry_50596|Өйткені, олардың игі істері өзгелерге үлгі болары хақ.
1263201035_angry_50639|Енді жинақтаушылар, басылымның тұңғыш шығарылымдарын Ресей мұрағаттарынан сұратуды көздеп отыр.
1263201035_angry_50679|Бірақ мен білемін: ол қызды жазатын ала тоқты.
1263201035_angry_5068|Былтыр төртеуі ел игілігіне берілсе, биыл тағы 8 жаңа нысанның құрылысы қызу жүруде.
1263201035_angry_50734|Ол ойланбастан «иә» деп айтты.
1263201035_angry_50739|Мен банктен несиеге бес мың американдық доллар алдым.
1263201035_angry_50770|Сізге суық тиген, қауіпті ештеңе жоқ.
1263201035_angry_50800|Елбасы тапсырмасына сай алдағы үш жылда елімізде 190 мектеп салынады.
1263201035_angry_50960|Неше рет ұрды, басқа қылды.
1263201035_angry_51225|─ Жарайт... – деді Курнос Иван міңгірлеп.
1263201035_angry_5123|Ал саяси тұрғыдан алсақ, Мәскеу мен Анкараның газқұбыры келісімі Түркияның, Әзірбайжанның, Қазақстанның саяси жағдайын жақсартады.
1263201035_angry_51230|Бұл санаттағы адамдарға қатысты – мұнда әртүрлі өңір өкілдері бар, жалпы 52 адам зардап шеккен.
1263201035_angry_51300|Үлкен қызы жаннан асқан сұлу екен.
1263201035_angry_51352|Кешегі ойын барысындағы қызықтарды өтірік–шынын араластырып сөз етіп келе жатты.
1263201035_angry_51357|Питерден маған ештеңе түскен жоқ па?
1263201035_angry_51363|Жоғарының қысымымен жергілікті қызметкерлер берілген жоспарды қалай болса да орындауға тырысты.
1263201035_angry_51373|Ол жерлерде санитарлық қауіпсіздік шаралары жүргізіледі.
1263201035_angry_51409|Сонымен, еуропалықтардың Ұлы Тартария атап жүрген империясы – Ұлы Тұран!
1263201035_angry_51499|– Ақылым өзіңіз ойлағандай: жау екі жақтан.
1263201035_angry_51570|Әйтпесе, мәселен ғарышкерлерге өте танымал «Белое солнце пустыни» фильмінің бізге не қажеті бар?..
1263201035_angry_51604|– Қарақтарым–ау, не қып дерің бар ма?
1263201035_angry_51696|Ол менің сөзімді бөліп жіберді.
1263201035_angry_51729|Кейбір фактілер болады.
1263201035_angry_51738|Қазақстанның геосаяси жағдайы үлкен өзгерістерге ұшырауда.
1263201035_angry_51841|Балақайдың анасы бұл адам сенгісіз қадамға оның бұрынғы ғашығы барғанын сөз етті.
1263201035_angry_5185|– Иә, шананы да тартып жүз ярд өтеді, – деді Джон Торнтон жайбарақат қана.
1263201035_angry_52242|Осыншама аумақ жыл он екі ай әуе мен жерден бақыланады.
1263201035_angry_52254|Өмірде жолы болған адамдардың тағдыры себеп пе, әлде өмір адамдарға тек бақыт сыйлайды ма ?
1263201035_angry_52295|Мәлике көзқарасын үлкейтіп, оған тесіле қарап тұрды да: – Мынаның қуын қарашы–ай!– деді.
1263201035_angry_52513|Өзін өлімнен құтқарған Ұмай ананың атын атап, көмек сұрағанда ғана ғайыптан пайда болып, асқан мейірімділікпен маңдайын сипайды.
1263201035_angry_52674|Жоқ, қазір Ринаттың сөздері өтімді.
1263201035_angry_52782|Солар Седовты спорттан кету туралы мәлімдеме жасауға мәжбүрлеген болар.
1263201035_angry_52839|Қазақ поэзиясының ХАНТӘҢІРІ, ХанТәңірінің мұзбалағы!
1263201035_angry_52842|Бұған қоса түрі де жүдеу көрінеді.
1263201035_angry_52912|Осы салтқа Абылай да бағынған.
1263201035_angry_52974|Екінші жағынан, құрылыс қарқыны кемімейді.
1263201035_angry_53024|Актинийліктердің электрондық құрылысы мен химиялық қасиеттері ұқсас келеді.
1263201035_angry_53184|Журналист болып қайтесің, онсызда көп қой, қара да тұр ертең жұмыссыз қаласың дейтіндер де менің қызығы мен шыжығы мол өмірімде аз емес.
1263201035_angry_53197|Екеуі де финалға дейін ешкімнен жеңілген жоқ.
1263201035_angry_53403|Ең жаңа құрылыс және жол жабдығын көрсетуіңізді өтінеміз.
1263201035_angry_5344|Ол өзі «қой аузынан шөп алмайтын» момын екен, еш уақытта да бір адамға «сені ме!» деген қатты сөз айтпапты.
1263201035_angry_53479|Мінекиіңіз. Сіздің бөлмеңіздің кілті.
1263201035_angry_53647|Макриз де Карабас мысықтың айтқанын дәл солай оындайды.
1263201035_angry_53663|Дарынды жерлесімізге жаңа қызметте мол табыс тілеймін!, – деді шаһар басшысы.
1263201035_angry_53676|Өмірден көп нәрсені күткен дұрыс, бірақ бүгінгіні мойындамау адамды бақытсыздыққа сүйрелейтін ең басты фактор.
1263201035_angry_53700|Бар жақсыны бойына жинай білген жан.
1263201035_angry_53743|Бұл кемедегі ең назар аударарлық орын болып табылды.
1263201035_angry_53851|Егер де уақытты көңілді өткізгіңіз келсе, міндетті түрде, осы киноны көруге барыңыз.
1263201035_angry_53856|Ойлап қараңызшы, егер әркім өз мамандығы туралы мардымды ештеме айта алмаса, жалпы тақырып жөнінде ол не айтып жарытпақ?
1263201035_angry_53915|Маған қырық литр бензин керек.
1263201035_angry_53929|Оның дарын қуаты мінсіз де мөлдір ғажайып суреттер желісі арқылы ашылды.
1263201035_angry_53992|Ал екі балуан менің сарайыма жатып дем алыңдар, – деп халқын таратып, хан ордасына келіпті.
1263201035_angry_54009|Деcек те, жапанның үскірігі тоңдырды ма, көптің қарасын ықтағым келді ме, бойым үйрене бастады.
1263201035_angry_5903|Түркия жеріндегі Богазқап қалашығы қиратындылары арасынан саздан жасалған барельефте бірі қолына сұңқар ұстаған қолдарына шабатын қару ұстаған екі жігіт бейнеленген.
1263201035_angry_5917|Жиырма бесінші қарашада Дерсу, Аринин үшеуіміз удэхелермен бірге Кусун өзенінің құйылысына балық аулауға бардық.
1263201035_angry_5941|Еліміздегі мейірбикелер мен мейіргерлерге министрліктің атынан алғыс білдіремін.
1263201035_angry_63130|Ел алдында жүрген 2жарым жылдың ішінде 91 алысы бар, жақыны бар 200ден астам шет мемлекеттерден өз көрермендерін тапқан екен.
1263201035_angry_63162|Атап айтар болсақ, қыз баланың інісі дүниеге келген кезде «әке–шешем менің жынысымды ұнатпады» деп ойлауы мүмкін.
1263201035_angry_63173|Маған балық әкеліңізші.
1263201035_angry_63199|Үкіметтің ақшасымен істейді олар.
1263201035_angry_63548|– Мен сізді күзету үшін бүкіл Пероннаға қарсы тұруға дайынмын!– деп жауап қатты Таңбалы.
1263201035_angry_63670|– Несі бар, – деді Данглар, – бұл онша теріс шаруа болмас еді; мен енді істің адамымын ғой.
1263201035_angry_65040|Серәлінің Орынбаймен айтысының екі нұсқасы сақталған.
1263201035_angry_66230|Жаңа өмірге бастау, я өз арманыңдағы жолмен, я өзгенің қалауындағы жолмен.
1263201035_angry_66231|Сөйтіп олар Данияны аралап кетті.
1263201035_angry_66319|Тарихи орта ғасырлық жекпе-жек бізде әзірше кенжелеп дамыған.
